main_category,productId,retailerProductId,name,price_eur,price_per_kg_eur,categoryPath,brand,available,maxQuantityReached,featured,guaranteed_life_quantity,guaranteed_life_unit,size_value,attributes_labels,image_src
Nos recettes,cdc5f86d-a456-44fb-9522-ff2686fe80de,MPX_875083,"Florette baby carottes, sans conservateur 250g",2.79,11.16,"['Fruits & Légumes', 'Légumes Frais', 'Pommes de terre et Carottes', 'Carotte']",Florette,True,False,false,5.0,DAY,250g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/f06e3e17-46d1-49c8-a9e7-1a0c242804f3/300x300.jpg
Nos recettes,cfafebd3-79fa-4418-84d5-c555c8fc317a,MPX_1346972,Monoprix Papier cuisson 8m,1.69,1.69,"['Entretien & Nettoyage', 'Accessoire menager', 'Emballage alimentaire', 'Papier cuisson']",MONOPRIX,True,False,false,,,,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/ecc04746-077d-443e-ac67-146c76ee452f/300x300.jpg
Nos recettes,ddfcb2de-7dcb-4ec5-9349-f9ffe4ade014,MPX_142227,Monoprix Cœur de laitue sachet de 200g,1.99,9.95,"['Fruits & Légumes', 'Prêts à consommer', 'Salades']",Monoprix,True,False,false,1.0,DAY,200g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/da101a4f-ff7e-403a-9eb3-5e0e4e450e33/300x300.jpg
Nos recettes,c30b277c-f79d-4418-88bc-51074e4d5cf8,MPX_2156370,Monoprix Bio Pomme Golden x6 Catégorie 2,3.99,0.67,"['Bio', 'Fruit et Légume bio', 'Fruit frais bio']",MONOP BIOLOGIQUE,True,False,false,3.0,DAY,6 par pack,['Produit bio'],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/e093f8b4-8ea6-4cf2-b8f6-2a168d57f6f6/300x300.jpg
Nos recettes,7ef07b59-52f6-4f58-a0eb-1efe5559afc7,MPX_2076295,Myrtille Bio 125g,3.99,31.92,"['Bio', 'Fruit et Légume bio', 'Fruit frais bio']",Bio,True,False,false,2.0,DAY,125g,['Produit bio'],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/e12fae04-bcbe-4af9-94b5-cc51d73ef766/300x300.jpg
Nos recettes,26496778-7dba-4634-9999-38aed130d3a1,MPX_2588012,Monoprix Bio Parmigiano Reggiano râpé bio AOP 50g,2.15,43.0,"['Produits du monde', 'Italie - Italia', 'Mozzarella, Parmesan, Burrata et Ricotta']",Monoprix Bio,True,False,false,2.0,WEEK,50g,['Produit bio'],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/17a313aa-84fe-403d-819e-58fa34ae5fc8/300x300.jpg
Nos recettes,1165f852-4e5d-4b6d-be67-b05dea672d43,MPX_3405415,Monoprix Eau de source 5L,0.79,0.16,"['Boissons et Lait', 'Eau', 'Eau plate']",Monoprix,True,False,false,1.0,MONTH,5L,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/60f9e407-2a1d-4141-9221-1ebf904b150c/300x300.jpg
Nos recettes,d1c34645-4ab8-4105-96f8-a0b669ca5f31,MPX_1596746,Monoprix mangue en morceaux 200g,3.39,16.95,"['Fruits & Légumes', 'Fruits Frais', 'Fruits découpés']",Monoprix,True,False,false,2.0,DAY,200g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/22c3d03f-3fe7-4f46-9eda-9a55433b7fd1/300x300.jpg
Nos recettes,31281a33-b4c7-42c2-82da-fd0c7984aa86,MPX_1663837,Oignon Jaune Gros Calibre 1kg,1.79,1.79,"['Fruits & Légumes', 'Légumes Frais', 'Ail, Oignons et Echalotes', 'Oignon']",AUTRE MARQUE,True,False,false,1.0,WEEK,1kg,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/d502f2cb-ca60-48e9-b4ac-0e1a227a66b3/300x300.jpg
Nos recettes,d630481b-83f7-47d2-935d-47bbae7262e6,MPX_1753539,Aubergine Bio 500G,2.99,5.98,"['Fruits & Légumes', 'Légumes Frais', 'Aubergines, Courgettes et Poivrons', 'Aubergine']",-,True,False,false,2.0,DAY,500g,['Produit bio'],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/165717ac-6065-417f-8255-d4e4257b658a/300x300.jpg
