id,stock,available,title,packaging,brand,product_price,crossed_out_price,unit_price,kilo_litre_price,category
393,0,True,Coq 'Ailes nature,le sachet de 250 g,Maître Coq,3.4,,13.6,,Promotions
27255,3,True,Saumon fumé Norvège,la barquette de 4 tranches - 150 g,"Capitaine Cook, une marque Intermarché",7.26,,48.4,,Promotions
73917,1,True,La Brandade de morue parmentière,la barquette de 750g,Maison Briau,8.79,,11.72,,Promotions
73901,4,True,Encornets farcis aux légumes du soleil,la barquette de 600g,Maison Briau,8.49,,14.15,,Promotions
99878,1,True,Frites côté brasserie,le sachet de 650g,McCain,2.45,,3.77,,Promotions
99879,2,True,Frites côté resto,le sachet de 650g,McCain,2.45,,3.77,,Promotions
90691,6,True,Nuggets de poulet,le sachet de 1kg,Maître Coq,7.67,,7.67,,Promotions
181353,11,True,Ristorante - Pizza 4 fromages,La pizza de 340g,Ristorante,3.13,,9.21,,Promotions
133993,7,True,Colin d'Alaska 7 Céréales & Graines MSC,la boîte de 2 filets - 250g,Findus,4.14,,16.56,,Promotions
122594,2,True,Glace caramel biscuit spéculoos,Le pot de 400g ,Häagen-Dazs,6.37,,15.93,,Promotions
122601,1,True,Glace vanille caramel et brownie,Le pot de 386g ,Häagen-Dazs,6.79,,17.59,,Promotions
183741,8,True,Ristorante - Pizza spéciale jambon salami,La pizza de 345g,Dr. Oetker,3.66,,10.61,,Promotions
237359,6,True,Mini pizzas Piccolissima Proscuitto,la boîte de 12 - 288g,Ristorante,4.47,,15.52,0.38,Promotions
218600,11,True,Naan au fromage,La boite de 240g,Deli's world,5.61,,23.38,,Promotions
60647,11,True,Confort - Papier toilette Aqua Tube extraits de Lotus,les 24 rouleaux,Lotus,7.85,,0.33,,Promotions
155120,6,True,Tendre Croc' - Croque-monsieur jambon fromage sans croûte,la barquette de 2 - 200 g,Herta,1.95,,9.75,,Promotions
155123,3,True,Tendre Croc' - Croque-monsieur Comté,la barquette de 2 - 200 g,Herta,1.95,,9.75,,Promotions
73989,4,True,Eau gazeuse minérale finement pétillante - Verte,les 6 bouteilles de 1l - 6l,Badoit,4.42,,0.74,,Promotions
79996,3,True,Spécialité charcutière au poulet rôti en cocotte,le pot de 220 g,Bordeau Chesnel,2.55,,11.59,,Promotions
115547,9,True,Nems porc et sauce Nuoc mam,la barquette de 4 - 280 g,"Itinéraire des Saveurs, une marque Intermarché",1.79,,6.39,,Promotions
5833,18,True,Jus de pomme pétillant l'Original,la bouteille de 75cl,Champomy,2.72,,3.63,,Promotions
29886,32,True,Pâte feuilletée BIO,le paquet de 230 g,"Monique Ranou Bio, une marque Intermarché",1.71,,7.43,,Promotions
213163,4,True,Gels douche vanille et huile de coco,Le lot de 3 flacons de 250ml - 750ml,Tahiti,3.29,4.99,4.39,,Promotions
225772,26,True,Gel douche 5 en 1 - Provocation,Les 2 flacon de 400ml - 800ml,Axe,5.4,,6.75,,Promotions
213872,6,True,Gel douche grenade et huile de coco,Le lot de 3 flacons de 250ml - 750 ml,Tahiti,3.29,4.99,4.39,,Promotions
4924,5,True,"Vin de Pays d'Oc Cabernet Sauvignon, vin rouge",la bouteille de 75 cl,Roche Mazet,2.97,,3.96,,Promotions
5624,8,True,"Martini bianco 14,4°",La bouteille de 1L,Martini,7.11,7.9,7.11,,Promotions
210142,1,True,Gel douche extra doux lait d'amande douce BIO,Le lot de 3 flacons de 250ml - 750ml,Le Petit Marseillais,4.44,,5.92,,Promotions
160738,2,True,Petits pots bébé carottes semoule dinde dès 6 mois,les 2 pots de 200g - 400g,Blédina,2.17,,5.43,,Promotions
26300,1,True,Sauvignon Pays d'Oc,la bouteille de 75 cl,Roche Mazet,4.0,,5.33,,Promotions
213164,8,True,Gel douche citron et huile de coco,Le lot de 3 flacons de 250ml - 750ml,Tahiti,3.29,4.99,4.39,,Promotions
213602,6,True,White Now - Dentifrice blancheur Ice Now menthe,Le lot de 3 tubes de 75ml - 225ml,Signal,4.74,7.18,21.02,,Promotions
39521,16,True,Pâte brisée BIO,la boite de 230 g,"Monique Ranou Bio, une marque Intermarché",1.71,,7.43,,Promotions
208782,20,True,Bébé - Shampoing très doux,le flacon de 300ml,Mixa,2.75,,9.17,,Promotions
208781,4,True,Bébé - Gel douche corps et cheveux très doux hypoallergénique,le flacon de 300ml,Mixa,2.75,,9.17,,Spécial bébé
209491,2,True,"Baby Dry - Couches taille 4, 9-14kg",le paquet de 45 couches,Pampers,10.49,15.89,0.24,,Spécial bébé
66730,19,True,Couches Premium Active taille 4 : 7-18 kg,le paquet de 48,"Pommette, une marque Intermarché",10.28,15.58,0.22,,Spécial bébé
45062,27,True,"Couches Premium Active, taille 5 : 11-25 kg",le paquet de 44,"Pommette, une marque Intermarché",10.28,15.58,0.24,,Spécial bébé
235460,12,True,Bébé - Lingettes ultra-douce hypoallergénique multi-usage au lait de toilette,Le paquet de 80 lingettes,Mixa,2.75,,0.04,,Spécial bébé
160723,1,True,Petits pots bébé purée de carottes jambon dès 6 mois,les 2 pots de 400g - 800g,Blédina,2.17,,5.43,,Spécial bébé
160724,16,True,Petits pots bébé tomates riz poulet dès 6 mois,les 2 pots de 200g - 400g,Blédina,2.17,,5.43,,Spécial bébé
160738,2,True,Petits pots bébé carottes semoule dinde dès 6 mois,les 2 pots de 200g - 400g,Blédina,2.17,,5.43,,Spécial bébé
208782,20,True,Bébé - Shampoing très doux,le flacon de 300ml,Mixa,2.75,,9.17,,Spécial bébé
66729,12,True,"Couches Premium Active, taille 3 : 4-9 kg",le paquet de 52,"Pommette, une marque Intermarché",10.28,15.58,0.2,,Spécial bébé
12380,21,True,"Couches Premium Active, taille 4+ : 9-20 kg",le paquet de 46,"Pommette, une marque Intermarché",10.28,15.58,0.23,,Spécial bébé
239327,3,True,Lait de croissance en poudre - Calisma Croissance 3 - dès 12 mois,La boîte de 830g,Gallia,11.22,,13.52,,Spécial bébé
209929,3,True,"Baby Dry - Couches culottes taille 7, 17kg+",le paquet de 29 couches,Pampers,10.49,15.89,0.37,,Spécial bébé
208783,5,True,Bébé - Lait de toilette très doux hypoallergénique,le flacon de 300ml,Mixa,2.75,,9.17,,Spécial bébé
209490,2,True,"Baby Dry - Couches taille 3, 6-10kg",le paquet de 52 couches,Pampers,10.49,15.89,0.21,,Spécial bébé
209930,2,True,"Baby Dry - Couches taille 4, 10-15kg",le paquet de 40 couches,Pampers,10.49,15.89,0.27,,Spécial bébé
968,8,True,"Eau nettoyante hydratante, peaux délicates des bébés",la pompe de 250 ml,Mixa Bébé,2.75,,11.0,,Spécial bébé
234399,19,True,Bébé - Shampooing très doux hypoallergénique,Le flacon de 300ml,Mixa,2.75,,9.17,,Spécial bébé
3757,11,True,"P'tit Gourmand - Dessert saveur vanille réduit en sucres, 6+ mois",les 4 pots de 100g - 400g,Nestlé,1.98,,4.95,,Spécial bébé
115526,32,True,"Purée de pomme vanille BIO, dès 4/6 mois",les 4 pots de 100 g - 400g,"Pommette Bio, une marque Intermarché",2.19,,5.48,,Spécial bébé
19988,15,True,"Baby - Sérum physiologique, 0+ mois",les 40 unidoses de 5ml,"Labell, une marque Intermarché",2.19,,10.95,,Spécial bébé
37295,2,True,"Couches Agility Dry, taille 4 : 7-18 kg",le paquet de 102,"Pommette, une marque Intermarché",17.37,,0.18,,Spécial bébé
124412,8,True,Lingettes bébé sensitive,Paquet de 52 lingettes,Pampers,2.06,,0.04,,Spécial bébé
31111,3,True,"Sensitive - Lingettes imprégnées bébé, aloe vera",le lot de 2x63 lingettes,"Pommette, une marque Intermarché",2.36,,0.02,,Spécial bébé
5520,0,True,Lingettes bébé,le paquet de 72,Top Budget,0.79,,0.02,,Spécial bébé
121127,9,True,"Purée pomme pruneau BIO, dès 4/6 mois",les 4 pots de 100 g - 400g,"Pommette Bio, une marque Intermarché",2.14,,5.35,,Spécial bébé
98278,2,True,"Couches Autonomy Up, taille 5 : 12-18 kg",le paquet de 40,"Pommette, une marque Intermarché",10.37,,0.26,,Spécial bébé
13518,10,True,"Carrés de Soin , visage et corps",le paquet de 100 ,"Pommette, une marque Intermarché",2.54,,2.54,,Spécial bébé
6141,5,True,"Maxi carrés, visage & corps",le paquet de 80,"Pommette, une marque Intermarché",1.81,,0.03,,Spécial bébé
110622,6,True,Maxi Carrés Sensitive visage & corps à l'aloe vera,le paquet de 50,"Pommette, une marque Intermarché",1.79,,0.04,,Spécial bébé
212526,12,True,"P'tit Brassé - Abricot vanille sans sucres ajoutés, dès 6 mois",les 4 pots de 90g,Nestlé,2.71,,7.53,,Spécial bébé
178328,6,True,P'tit brassé nature dès 6 mois,les 4 pots de 90g - 360g,Nestlé,2.55,,7.08,,Spécial bébé
18296,10,True,Lait et céréales bébé croissance légumes dès 12 mois - Blédiner,les 2 briques de 250ml - 500g,Blédina,1.85,,3.7,,Spécial bébé
109073,3,True,"Couches Agility Dry, taille : 4+ : 9-20 kg",le paquet de 96,"Pommette, une marque Intermarché",17.12,,0.18,,Spécial bébé
