productId,available,name,size_value,brand,price_eur,price_per_kg_eur,main_category
968,True,"Eau nettoyante hydratante, peaux délicates des bébés",la pompe de 250 ml,Mixa Bébé,2.75,11.0,Bébé
234399,True,Bébé - Shampooing très doux hypoallergénique,Le flacon de 300ml,Mixa,2.75,9.17,Bébé
3757,True,"P'tit Gourmand - Dessert saveur vanille réduit en sucres, 6+ mois",les 4 pots de 100g - 400g,Nestlé,1.98,4.95,Epicerie-Sucrée
115526,True,"Purée de pomme vanille BIO, dès 4/6 mois",les 4 pots de 100 g - 400g,"Pommette Bio, une marque Intermarché",2.19,5.48,Bébé
19988,True,"Baby - Sérum physiologique, 0+ mois",les 40 unidoses de 5ml,"Labell, une marque Intermarché",2.19,10.95,Bébé
37295,True,"Couches Agility Dry, taille 4 : 7-18 kg",le paquet de 102,"Pommette, une marque Intermarché",17.37,0.18,Animaux
124412,True,Lingettes bébé sensitive,Paquet de 52 lingettes,Pampers,2.06,0.04,Bébé
31111,True,"Sensitive - Lingettes imprégnées bébé, aloe vera",le lot de 2x63 lingettes,"Pommette, une marque Intermarché",2.36,0.02,Bébé
5520,True,Lingettes bébé,le paquet de 72,Top Budget,0.79,0.02,Bébé
121127,True,"Purée pomme pruneau BIO, dès 4/6 mois",les 4 pots de 100 g - 400g,"Pommette Bio, une marque Intermarché",2.14,5.35,Bébé
98278,True,"Couches Autonomy Up, taille 5 : 12-18 kg",le paquet de 40,"Pommette, une marque Intermarché",10.37,0.26,Animaux
13518,True,"Carrés de Soin , visage et corps",le paquet de 100 ,"Pommette, une marque Intermarché",2.54,2.54,Hygiène-Beauté
6141,True,"Maxi carrés, visage & corps",le paquet de 80,"Pommette, une marque Intermarché",1.81,0.03,Hygiène-Beauté
110622,True,Maxi Carrés Sensitive visage & corps à l'aloe vera,le paquet de 50,"Pommette, une marque Intermarché",1.79,0.04,Hygiène-Beauté
212526,True,"P'tit Brassé - Abricot vanille sans sucres ajoutés, dès 6 mois",les 4 pots de 90g,Nestlé,2.71,7.53,Bébé
178328,True,P'tit brassé nature dès 6 mois,les 4 pots de 90g - 360g,Nestlé,2.55,7.08,Bébé
18296,True,Lait et céréales bébé croissance légumes dès 12 mois - Blédiner,les 2 briques de 250ml - 500g,Blédina,1.85,3.7,Bébé
